graph_uid,tracking_timestamp_us,utc_timestamp_ns,tx_world_device,ty_world_device,tz_world_device,qx_world_device,qy_world_device,qz_world_device,qw_world_device,device_linear_velocity_x_device,device_linear_velocity_y_device,device_linear_velocity_z_device,angular_velocity_x_device,angular_velocity_y_device,angular_velocity_z_device,gravity_x_world,gravity_y_world,gravity_z_world,quality_score,geo_available,tx_ecef_device,ty_ecef_device,tz_ecef_device,qx_ecef_device,qy_ecef_device,qz_ecef_device,qw_ecef_device
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66148907,1782981822650984350,2.046850,0.331421,0.016254,0.612232341,0.431895632,-0.518834494,0.411641218,0.001043,-0.011862,0.010966,0.000000,0.000000,0.000000,0.000000,-0.000000,-9.810000,1.0,0,0.210578,1.761697,-0.973815,0.000878016,-0.000535330,-0.001543681,0.999998280
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66149907,1782981822651984350,2.046834,0.331413,0.016251,0.612243106,0.431890976,-0.518829465,0.411636429,0.001056,-0.011895,0.010977,0.000301,0.000333,0.000343,0.000000,-0.000000,-9.810000,1.0,0,0.210579,1.761684,-0.973803,0.000885633,-0.000526532,-0.001536584,0.999998289
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66150907,1782981822652984350,2.046818,0.331405,0.016248,0.612254573,0.431884526,-0.518823783,0.411633302,0.001032,-0.011932,0.010978,0.000591,0.000628,0.000860,0.000000,-0.000000,-9.810000,1.0,0,0.210580,1.761671,-0.973790,0.000893168,-0.000518429,-0.001526955,0.999998301
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66151907,1782981822653984350,2.046802,0.331396,0.016246,0.612266610,0.431876939,-0.518817418,0.411631382,0.001014,-0.011965,0.010978,0.000886,0.000790,0.001416,0.000000,-0.000000,-9.810000,1.0,0,0.210580,1.761658,-0.973777,0.000900491,-0.000510601,-0.001515477,0.999998316
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66152907,1782981822654984350,2.046785,0.331388,0.016244,0.612277677,0.431868151,-0.518812409,0.411630454,0.001027,-0.011986,0.010969,0.001156,0.000959,0.001823,0.000000,-0.000000,-9.810000,1.0,0,0.210579,1.761644,-0.973765,0.000908013,-0.000505031,-0.001503727,0.999998330
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66153907,1782981822655984350,2.046769,0.331380,0.016241,0.612288649,0.431860820,-0.518806914,0.411628751,0.001056,-0.011999,0.010945,0.001363,0.001329,0.002188,0.000000,-0.000000,-9.810000,1.0,0,0.210579,1.761631,-0.973752,0.000915008,-0.000498277,-0.001493112,0.999998343
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66154907,1782981822656984350,2.046753,0.331372,0.016239,0.612299632,0.431853490,-0.518801180,0.411627331,0.001103,-0.012005,0.010903,0.001534,0.001767,0.002396,0.000000,-0.000000,-9.810000,1.0,0,0.210579,1.761618,-0.973740,0.000921729,-0.000491492,-0.001482248,0.999998356
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66155907,1782981822657984350,2.046737,0.331364,0.016236,0.612310173,0.431848396,-0.518795221,0.411624506,0.001162,-0.012022,0.010858,0.001775,0.002275,0.002636,0.000000,-0.000000,-9.810000,1.0,0,0.210580,1.761605,-0.973728,0.000927875,-0.000483269,-0.001473578,0.999998367
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66156907,1782981822658984350,2.046721,0.331357,0.016233,0.612321435,0.431842404,-0.518788967,0.411621921,0.001209,-0.012105,0.010825,0.002087,0.002764,0.002950,0.000000,-0.000000,-9.810000,1.0,0,0.210581,1.761592,-0.973716,0.000934509,-0.000474965,-0.001463802,0.999998379
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66157907,1782981822659984350,2.046706,0.331349,0.016229,0.612332415,0.431837966,-0.518782706,0.411618135,0.001255,-0.012176,0.010792,0.002201,0.003111,0.003011,0.000000,-0.000000,-9.810000,1.0,0,0.210582,1.761578,-0.973704,0.000940956,-0.000465644,-0.001455718,0.999998389
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66158907,1782981822660984350,2.046690,0.331342,0.016226,0.612342668,0.431833239,-0.518776798,0.411615286,0.001269,-0.012229,0.010752,0.002230,0.003159,0.003035,0.000000,-0.000000,-9.810000,1.0,0,0.210583,1.761565,-0.973692,0.000946829,-0.000457439,-0.001447432,0.999998400
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66159907,1782981822661984350,2.046674,0.331334,0.016223,0.612351745,0.431829762,-0.518771623,0.411611954,0.001340,-0.012311,0.010744,0.002674,0.003633,0.002876,0.000000,-0.000000,-9.810000,1.0,0,0.210584,1.761552,-0.973680,0.000952183,-0.000449567,-0.001440972,0.999998407
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66160907,1782981822662984350,2.046658,0.331327,0.016219,0.612361902,0.431826062,-0.518766568,0.411607096,0.001407,-0.012419,0.010780,0.003662,0.004448,0.003104,0.000000,-0.000000,-9.810000,1.0,0,0.210586,1.761539,-0.973668,0.000959086,-0.000440644,-0.001434748,0.999998414
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66161907,1782981822663984350,2.046642,0.331319,0.016215,0.612373232,0.431821883,-0.518761586,0.411600903,0.001436,-0.012509,0.010773,0.004599,0.004666,0.003294,0.000000,-0.000000,-9.810000,1.0,0,0.210588,1.761525,-0.973656,0.000967570,-0.000430779,-0.001428445,0.999998419
646dcb30-e3d3-84a9-4e07-4ccad96d36ff,66162907,1782981822664984350,2.046626,0.331312,0.016211,0.612383958,0.431816878,-0.518758033,0.411594674,0.001311,-0.012542,0.010720,0.005127,0.003872,0.004051,0.000000,-0.000000,-9.810000,1.0,0,0.210589,1.761511,-0.973643,0.000976870,-0.000422429,-0.001422505,0.999998422
